3000.697125,0.586023,0.292664,0.945300,0.609811,0.321671,0.511923
0.133323,3000.737561,0.644722,0.126859,0.109992,0.584172,0.687766
0.655341,0.054073,3000.240828,0.033875,0.719760,0.095650,0.414616
0.465507,0.636926,0.399969,3000.356957,0.033728,0.194560,0.483358
0.780583,0.776023,0.676152,0.390394,3000.097694,0.188075,0.627292
0.925636,0.272014,0.357875,0.035628,0.856186,3000.045641,0.712873
0.099714,0.953701,0.545402,0.819474,0.049351,0.960017,3000.201049
0.596943,0.601018,0.871816,0.630671,0.795578,0.355174,0.361523
0.131197,0.037676,0.966555,0.228891,0.225751,0.593847,0.459908
0.865861,0.817783,0.187014,0.722047,0.863424,0.899887,0.233574
0.853589,0.778975,0.782612,0.902940,0.738993,0.983661,0.417798
0.584679,0.289614,0.966607,0.380256,0.644789,0.328130,0.956417
0.365806,0.922972,0.004877,0.591557,0.516820,0.464785,0.742943
0.282568,0.929957,0.104728,0.145992,0.829844,0.338301,0.109130
0.117277,0.891742,0.586373,0.856269,0.875403,0.004171,0.192206
0.293785,0.158813,0.840338,0.938574,0.486943,0.796756,0.714560
0.719728,0.719437,0.444306,0.236547,0.184221,0.187249,0.619228
0.117207,0.723956,0.612781,0.947051,0.062257,0.721912,0.630484
0.613654,0.216857,0.035803,0.489057,0.221028,0.228009,0.949139
0.386821,0.789477,0.453387,0.873765,0.586232,0.167947,0.726514
0.887384,0.170820,0.542508,0.071605,0.358069,0.161736,0.538394
0.885692,0.151176,0.422327,0.947949,0.873087,0.052811,0.127482
0.269667,0.163285,0.975798,0.490695,0.391294,0.924937,0.005509
0.714414,0.458896,0.651880,0.300647,0.626843,0.378394,0.606607
0.549214,0.149115,0.585832,0.907284,0.310850,0.124226,0.382560
0.275402,0.804887,0.144490,0.148489,0.857697,0.271973,0.635231
0.435258,0.611029,0.618060,0.826552,0.535966,0.623569,0.604668
0.082465,0.256548,0.551027,0.709308,0.634942,0.157634,0.223535
0.306748,0.809367,0.091440,0.617598,0.933594,0.473999,0.814140
0.278886,0.958631,0.357484,0.136583,0.230603,0.992715,0.263948
0.603744,0.882008,0.492414,0.139710,0.505577,0.097081,0.390090
0.353629,0.941117,0.297351,0.988570,0.098751,0.520886,0.172726
0.330254,0.264166,0.023098,0.263847,0.738165,0.837238,0.472842
0.795868,0.830327,0.153634,0.026472,0.823042,0.417582,0.692333
